,Date,Tweets
84,2022-03-12,"United to Cut 17 Routes and One U.S. City, Boeing Ends Support for Russian Carriers â€“ SGF News https://t.co/C86eXcmDtR #unitedairlines https://t.co/TzfLvns4HY"
85,2022-03-12,"Thank you to our pilots for joining us in our special FSC on Discord! ðŸ‘We appreciate our pilots patience with technology changes! We're excited to start our Beta testing soon! ðŸ˜Š

#unitedairlines #beinunited #pilot #boeing #boeing737 #b737 #virtualua #vatsim #fsx #msfs2020 https://t.co/h1H54EfVTD"
86,2022-03-12,"RT @spotterguidenet: Fake? Optical illusion? Nope, the simultaneous departures at SFO are real #UnitedAirlines #SFO #sfoairport #nofake #itâ€¦"
87,2022-03-12,Airlines: could you facilitate donating FF miles to Ukrainian refugees vs magazine subscriptions! #AmericanAirlines #unitedAIRLINES #DeltaAirlines #HelpUkraine
88,2022-03-12,Delayed in NYC â€¦. â„ï¸ snow..#NewYork #newyorksnow #airtravel #waitingtocomehome #missingyou #flightdelay #unitedAIRLINES https://t.co/aNI2gU8pYi
89,2022-03-12,"RT @spotterguidenet: Fake? Optical illusion? Nope, the simultaneous departures at SFO are real #UnitedAirlines #SFO #sfoairport #nofake #itâ€¦"
90,2022-03-12,"United canceling all direct flights in May 2022, to India due to the Russia-Ukraine war .. #unitedairlines #nounited #airlines #RussiaUkraineConflict #RussianAggression"
91,2022-03-12,"RT @spotterguidenet: Fake? Optical illusion? Nope, the simultaneous departures at SFO are real #UnitedAirlines #SFO #sfoairport #nofake #itâ€¦"
92,2022-03-12,"RT @birrlad: Arriving @Airport_FRA on a sunny morning @united 787-9 N24979.
#avgeek #aviation #airline #airtravel #boeing #dreamliner #unitâ€¦"
93,2022-03-12,"RT @spotterguidenet: Fake? Optical illusion? Nope, the simultaneous departures at SFO are real #UnitedAirlines #SFO #sfoairport #nofake #itâ€¦"
94,2022-03-12,"RT @spotterguidenet: Fake? Optical illusion? Nope, the simultaneous departures at SFO are real #UnitedAirlines #SFO #sfoairport #nofake #itâ€¦"
95,2022-03-12,"RT @spotterguidenet: Fake? Optical illusion? Nope, the simultaneous departures at SFO are real #UnitedAirlines #SFO #sfoairport #nofake #itâ€¦"
96,2022-03-12,So next time I'm driving. #unitedairlines.  Newark  to new orleans.   Flight delayed 40 min.  Got bumped out of deicing line.  Then errant luggage cart hits the plane.   Damaged engine.  Have to get off plane
97,2022-03-12,"RT @FlightModeblog: #UnitedAirlines will let unvaccinated employees return to their full-time jobs by March 28.

#United #US #aviation #avgâ€¦"
98,2022-03-12,"RT @FlightModeblog: #UnitedAirlines will let unvaccinated employees return to their full-time jobs by March 28.

#United #US #aviation #avgâ€¦"
99,2022-03-12,"#UnitedAirlines will let unvaccinated employees return to their full-time jobs by March 28.

#United #US #aviation #avgeek #avgeeks #flights #travel #UA https://t.co/2IAkTiU4DQ"
100,2022-03-12,"RT @birrlad: Arriving @Airport_FRA on a sunny morning @united 787-9 N24979.
#avgeek #aviation #airline #airtravel #boeing #dreamliner #unitâ€¦"
101,2022-03-12,"RT @spotterguidenet: Fake? Optical illusion? Nope, the simultaneous departures at SFO are real #UnitedAirlines #SFO #sfoairport #nofake #itâ€¦"
102,2022-03-12,RT @beth_blackwell: Should you put me on that flight?because we are still sitting hereâ€¦way over an hour after we were supposed to take off.â€¦
